group_id,group_name,members,category_id,category_name,organizer_id,urlname
19394496,Pune Developer's Community,4262,292,Tech,182849219,Pune-Developers-Community
4387912,Google Developer Group Pune : GDG Pune,6130,292,Tech,25480862,Pune-GDG
25835616,ThoughtWorks Pune Events,1225,292,Tech,235949519,ThoughtWorks-GeekNight-Pune
3730702,ExpertTalks Pune,6023,292,Tech,14196782,expert-talks-Pune
9892342,Pune Mobile Developers,4679,292,Tech,15585881,Pune-Mobile-Developers
18446215,"Internet Of Things, Pune (IoTPune)",6762,562,Learning,111363232,Internet-Of-Things-Pune-IoTPune
20183289,"NASSCOM 10000 Startups,Pune",2364,292,Tech,207214828,NASSCOM-10000-Startups-Pune
18464661,Discuss Agile Network Pune,4078,292,Tech,13940105,discuss-agile-network-pune
19389938,Pune Spring Developers,1167,292,Tech,157124642,Pune-Spring-Meetup
28114474,Machine Learning Foundation: Pune,211,292,Tech,220484112,Machine-Learning-Pune
18584198,Ansible Pune,1332,292,Tech,187088132,Ansible-Pune
26801593,Data Science and Machine Learning Meet,714,292,Tech,243273355,Data-Science-and-Machine-Learning
18729099,Pune Travel Club,8996,242,Outdoors & Adventure,189676188,Pune-Travel-Club
18960262,Startups Club - Pune,1615,522,Career & Business,193129883,urclubpune
27484012,Pune Stock Investors,196,522,Career & Business,111363232,Pune-Stock-Investors-Meetup
18691068,Headstart Pune,2775,522,Career & Business,48389572,sspune
22968051,Pune Big Data Analytics Meetup,2063,292,Tech,222387805,meetup-group-mBrnrixQ
27112991,PyData Pune,514,292,Tech,243312680,PyData-Pune
26624520,BlueRidge IT meetup,641,562,Learning,213319499,BlueRidge-IT-meetup
27908609,91springboard Pune,240,522,Career & Business,250610000,91springboard-Pune
16116832,Pune Footballers Club (PFC),1282,282,Sports & Fitness,134583802,Pune-Footballers-Club
26014301,AI Geeks,1261,292,Tech,50561132,Pune-AI-Geeks
18190962,Pune WordPress Knowledge Exchange,2137,292,Tech,72560962,Pune-WordPress-Knowledge-Exchange
22913593,"Data Science & Internet of Things (IoT), Pune",621,292,Tech,223619835,datascience-iotpune
23340754,"ReactJS, AngularJS, NodeJS and JavaScript - Pune",124,562,Learning,3318941,SkewCode2
23728785,Nukkad Cafe,1950,122,Arts,148969892,NukkadCafe
25034155,Online Business Marketing For Startups and Entrepreneurs,1039,522,Career & Business,224299474,Online-Business-Marketing-For-Startups-and-Entrepreneurs
20416033,START UP WITH START UPS,3928,292,Tech,183874227,START-UP-WITH-START-UPS
27595417,Pune Agile Thought Leaders,280,292,Tech,196334542,Pune-Agile-Thought-Leaders
27186923,Pune Toastmasters Meetup,152,522,Career & Business,246218734,meetup-group-ScPJDxDX
26742722,TechnoWise,303,292,Tech,234533959,TechnoWise
16575032,Pune Strategy Board Games,1373,182,Sci-Fi & Games,121887342,Pune-Strategy-Board-Games
1604330,Pune Ruby Users Group,2263,292,Tech,10155772,PuneRailsMeetup
13171062,Write Here. Write Now. : Pune Writers' Group,665,582,Writing,73088262,Write-here-Write-now-Pune-Writers-Group
24758643,ReactJS and Friends,868,292,Tech,12749666,ReactJS-and-Friends
27866703,Pune Fiction Meetup-Art of Words,205,222,Book Clubs,249849576,Pune-Fiction-Meetup
19622175,Job/Business Opportunities,3294,292,Tech,194312561,job-business-opportunities
22958651,India Big Data Analytics Meetup,975,292,Tech,222387805,India-Big-Data-Analytics-Meetup
27965379,NoSQL Pune Community,114,292,Tech,246134658,NoSQL-Pune-Community
26369474,Tech Hub,1451,292,Tech,238474808,meetup-group-sshaMjYq
23629937,Blockchain- The Next Big Thing,497,292,Tech,36004682,Pune-Decentralization-Meetup
20431708,The Daftar Coworking,1533,522,Career & Business,213043001,THE-DAFTAR-COWORKING
25906404,Pune Entrepreneurs & Innovators,1319,522,Career & Business,12305837,Pune-Entrepreneurs-Innovators
21214146,Kubernetes & Cloud Native Computing Pune,839,292,Tech,3872838,Kubernetes-Pune
23685097,Pune Tech Talks,1272,292,Tech,49833542,Pune-Tech-Talks
25762368,Pune Spoken Words Meetup,287,582,Writing,217810267,Pune-Spoken-Word-Meetup
9955922,Agile Practitioners Group of India (APGI),535,292,Tech,189721093,Agile-Practitioners-Group-of-India-APGI
28135659,Pune Business Agility Meetup,90,292,Tech,191172008,Pune-Business-Agility-Meetup
11581322,"Pagdandi - Books, Stories, Music, Poetry, Films, Workshops",1438,272,Social,121573722,Pagdandi-The-Rough-Road
19016063,Pune UI/UX Talks,475,292,Tech,58637252,puneuitalks
27315686,Pune Blockchain Meetup 2018,418,292,Tech,245487502,Pune-Blockchain-Meetup-2018
23186849,"IoT, Electronics & Open Source - Pune",1386,292,Tech,191118451,IoT-Electronics-Pune
